Action Units,Estimated Emotion (7 class),glasses,fringe,gender,Subject,Filename
22,1,0,0,0,1,EP02_01f
45,7,0,0,0,1,EP03_02
46,7,0,0,0,1,EP04_02
46,7,0,0,0,1,EP04_03
46,7,0,0,0,1,EP04_04
46,7,0,0,0,1,EP19_01
46,7,0,0,0,1,EP19_03f
15,2,0,0,0,1,EP19_05f
27,2,0,0,0,1,EP19_06f
12,3,0,0,1,2,EP01_11f
9,3,0,0,1,2,EP02_04f
12,3,0,0,1,2,EP03_02f
48,3,0,0,1,2,EP06_01f
48,3,0,0,1,2,EP06_02f
48,7,0,0,1,2,EP08_04
16,1,0,0,1,2,EP09_01
46,7,0,0,1,2,EP09_06f
18,7,0,0,1,2,EP09_10
13,4,0,0,1,2,EP11_01
37,4,0,0,1,2,EP13_04
13,4,0,0,1,2,EP14_01
18,7,0,0,1,2,EP15_04
37,4,1,0,0,3,EP01_2
46,7,1,0,0,3,EP07_03
15,2,1,0,0,3,EP07_04
46,7,1,0,0,3,EP08_1
49,2,1,0,0,3,EP09_03
5,2,1,0,0,3,EP18_06
35,2,1,0,0,3,EP19_08
5,2,0,0,1,4,EP12_01f
14,2,0,0,1,4,EP12_02f
46,7,0,0,1,4,EP13_02f
28,2,0,0,1,4,EP13_06f
46,7,0,0,1,4,EP19_01f
13,4,0,0,1,5,EP02_07
48,1,0,0,1,5,EP03_01
37,4,0,0,1,5,EP03_06
46,7,0,0,1,5,EP03_07
37,4,0,0,1,5,EP04_05
36,4,0,0,1,5,EP04_06
33,7,0,0,1,5,EP05_03
12,7,0,0,1,5,EP05_09
46,7,0,0,1,5,EP06_10
33,7,0,0,1,5,EP07_01
46,7,0,0,1,5,EP08_05
1,2,0,0,1,5,EP09_05f
3,4,0,0,1,5,EP12_03f
18,7,0,0,1,5,EP12_06
33,7,0,0,1,5,EP13_04f
46,7,0,0,1,5,EP13_06
46,7,0,0,1,5,EP16_03f
46,7,0,0,1,5,EP16_04f
46,7,0,0,1,5,EP19_03
29,1,1,0,0,6,EP01_01
38,4,1,0,0,6,EP02_31
46,7,1,0,0,6,EP10_08
13,4,1,0,0,6,EP15_02
8,2,1,0,0,6,EP16_05
15,2,0,0,1,7,EP01_01
46,7,0,0,1,7,EP03_04
25,7,0,0,1,7,EP06_01
15,2,0,0,1,7,EP06_02_01
15,2,0,0,1,7,EP06_02_02
15,2,0,0,1,7,EP08_02
8,2,0,0,1,7,EP15_01
48,7,0,0,1,7,EP18_01
26,7,0,0,1,7,EP18_03
46,7,0,1,0,8,EP12_07f
46,7,0,1,0,8,EP12_08f
39,3,0,1,0,8,EP13_01f
22,1,0,0,1,9,EP02_01f
5,7,0,0,1,9,EP05_02
5,7,0,0,1,9,EP05_03
22,1,0,0,1,9,EP05_05
12,3,0,0,1,9,EP06_01f
9,1,0,0,1,9,EP06_02f
39,3,0,0,1,9,EP09_04
12,3,0,0,1,9,EP09_05
12,1,0,0,1,9,EP09f
18,3,0,0,1,9,EP13_01
31,5,0,0,1,9,EP13_02
22,1,0,0,1,9,EP15_05
18,3,0,0,1,9,EP17_08
5,7,0,0,1,9,EP18_03
46,7,1,0,0,10,EP06_01f
46,7,1,0,0,10,EP08_01f
46,7,1,0,0,10,EP10_01f
46,7,1,0,0,10,EP11_01
46,7,1,0,0,10,EP11_01f
46,7,1,0,0,10,EP12_02f
46,7,1,0,0,10,EP12_03f
46,7,1,0,0,10,EP12_04
6,5,1,0,0,10,EP13_01
46,7,1,0,0,10,EP13_02f
46,7,1,0,0,10,EP13_03f
46,7,1,0,0,10,EP16_02f
46,7,1,0,0,10,EP18_01f
46,7,1,0,0,10,EP19_04f
40,7,0,0,1,11,EP02_06f
46,2,0,0,1,11,EP08_01f
46,7,0,0,1,11,EP12_03f
49,2,0,0,1,11,EP13_02f
46,2,0,0,1,11,EP13_03f
49,2,0,0,1,11,EP13_05f
46,7,0,0,1,11,EP15_01f
48,7,0,0,1,11,EP15_04f
46,7,0,0,1,11,EP18_03f
46,7,0,0,1,11,EP19_03f
15,2,1,0,1,12,EP01_02
13,4,1,0,1,12,EP02_05
48,7,1,0,1,12,EP03_02
41,1,1,0,1,12,EP03_04
46,2,1,0,1,12,EP04_16
13,4,1,0,1,12,EP06_06
13,4,1,0,1,12,EP08_01
13,4,1,0,1,12,EP08_03
41,1,1,0,1,12,EP08_07
5,2,1,0,1,12,EP09_02
5,2,1,0,1,12,EP09_06
30,2,1,0,1,12,EP16_02
46,7,1,0,0,13,EP01_01
48,7,1,0,0,13,EP01_02
48,7,1,0,0,13,EP02_02
48,7,1,0,0,13,EP02_03
22,1,1,0,0,13,EP03_01
46,7,1,0,0,13,EP08_01
41,1,1,0,0,13,EP09_10
46,7,1,0,0,13,EP12_01
48,7,1,0,0,14,EP04_04f
48,1,1,0,0,14,EP09_03
48,1,1,0,0,14,EP09_04
41,1,1,0,0,14,EP09_06
22,1,1,0,1,15,EP03_02
11,4,1,0,1,15,EP04_02
5,2,1,0,1,15,EP08_02
42,1,1,0,0,16,EP01_05
18,3,1,0,0,16,EP01_08
42,7,1,0,0,16,EP01_09f
22,1,1,0,0,16,EP04_02f
22,1,0,0,1,17,EP01_06
4,4,0,0,1,17,EP01_13
22,1,0,0,1,17,EP01_15
43,2,0,0,1,17,EP02_01
5,2,0,0,1,17,EP02_03
47,2,0,0,1,17,EP02_11
18,3,0,0,1,17,EP02_18f
5,2,0,0,1,17,EP03_02
41,1,0,0,1,17,EP03_09
22,1,0,0,1,17,EP05_02
10,1,0,0,1,17,EP05_03
18,3,0,0,1,17,EP05_03f
18,3,0,0,1,17,EP05_04
18,3,0,0,1,17,EP05_09
18,3,0,0,1,17,EP05_10
5,2,0,0,1,17,EP06_04
22,1,0,0,1,17,EP06_07
18,3,0,0,1,17,EP06_08
5,2,0,0,1,17,EP07_01
5,2,0,0,1,17,EP08_02
46,7,0,0,1,17,EP08_03
18,3,0,0,1,17,EP10_06
5,2,0,0,1,17,EP11_01
5,2,0,0,1,17,EP11_02
18,3,0,0,1,17,EP12_03
46,7,0,0,1,17,EP13_01
5,2,0,0,1,17,EP13_03
5,2,0,0,1,17,EP13_04
5,2,0,0,1,17,EP13_06
22,1,0,0,1,17,EP13_09
37,6,0,0,1,17,EP15_01
37,6,0,0,1,17,EP15_03
18,3,0,0,1,17,EP15_04
48,7,0,0,1,17,EP15_05
35,2,0,0,1,17,EP16_01f
35,2,0,0,1,17,EP18_07
46,7,1,0,1,18,EP08_01
46,7,1,0,1,18,EP18_01
46,7,1,0,1,18,EP19_01
22,1,0,0,0,19,EP01_01f
41,1,0,0,0,19,EP01_02f
