AU,ethnicity,glasses,fringe,gender,Emotion
31,3,0,0,0,1
13,3,0,0,0,2
41,3,0,0,0,1
13,3,0,0,0,2
3,3,0,0,0,5
13,3,0,0,0,2
70,3,0,0,1,2
13,3,0,0,1,2
13,3,0,0,1,2
42,3,0,0,1,5
13,3,0,0,1,2
13,3,0,0,1,2
8,3,0,0,1,8
17,3,0,0,1,8
89,3,0,0,0,2
13,3,0,0,0,2
16,3,0,0,0,2
73,3,0,0,0,2
70,3,0,0,0,2
13,3,0,0,1,2
19,3,0,0,1,4
55,3,0,0,1,3
82,3,0,0,1,5
55,3,0,0,0,3
93,3,0,0,0,1
93,3,0,0,0,1
78,3,0,0,0,1
93,3,0,0,0,1
62,3,0,0,0,4
50,3,0,0,0,1
90,3,0,0,0,1
20,3,0,0,0,1
20,3,0,0,0,1
70,3,0,0,0,2
70,3,0,0,0,2
70,3,0,0,0,2
70,3,0,0,0,2
70,3,0,0,0,2
33,3,0,0,0,6
30,3,0,0,0,6
66,3,0,0,0,2
104,3,0,0,0,6
70,3,0,0,0,2
45,3,0,0,0,2
25,3,0,0,0,5
25,3,0,0,0,5
25,3,0,0,0,5
70,3,0,0,0,2
70,3,0,0,0,2
18,3,0,0,0,2
16,3,0,0,0,2
16,3,0,0,0,2
18,3,0,0,0,2
25,3,0,0,0,5
13,3,0,0,0,2
107,3,0,0,1,3
25,3,0,0,1,5
13,3,0,0,1,2
13,3,0,0,0,2
16,3,0,0,0,2
16,3,0,0,0,2
16,3,0,0,0,2
5,3,0,0,0,2
13,3,0,0,0,2
98,3,0,0,0,2
16,3,0,0,0,2
16,3,0,0,0,2
16,3,0,0,0,2
16,3,0,0,0,2
80,3,0,0,0,2
16,3,0,0,1,2
109,3,0,0,0,1
49,3,0,0,0,7
111,3,0,0,0,1
86,3,0,0,0,9
81,3,0,0,0,2
79,3,0,0,0,2
79,3,0,0,0,2
101,3,0,0,0,5
23,3,0,0,0,5
13,3,0,0,0,2
66,3,0,0,0,2
13,3,0,0,0,2
13,3,0,0,0,2
101,3,0,0,0,5
13,3,0,0,0,2
13,3,0,0,0,2
16,3,0,0,0,2
34,3,0,0,0,2
42,2,0,0,1,5
42,2,0,0,1,5
107,2,0,0,1,3
1,2,0,0,1,7
1,2,0,0,1,7
25,2,0,0,1,5
16,3,0,0,1,2
15,3,0,0,1,2
16,3,0,0,1,2
74,3,0,0,1,10
16,3,0,0,1,2
88,3,0,0,1,4
37,3,0,0,1,6
37,3,0,0,1,6
25,3,0,0,0,5
36,3,0,0,0,1
107,3,0,0,0,3
16,3,0,0,0,2
34,3,0,0,0,2
34,3,0,0,0,2
108,3,0,0,0,1
77,3,0,0,0,1
20,3,0,0,0,1
40,3,0,0,1,9
40,3,0,0,1,9
79,3,0,0,1,2
14,3,0,0,1,10
97,3,0,0,1,5
2,3,0,0,1,5
56,3,0,0,0,5
110,3,0,0,0,5
16,3,0,0,0,2
13,3,0,0,0,2
76,3,0,0,1,2
92,2,0,0,1,3
22,1,0,0,1,5
95,1,0,0,1,2
70,1,0,0,1,2
16,1,0,0,1,2
16,1,0,0,1,2
76,1,0,0,1,2
76,1,0,0,1,2
76,1,0,0,1,2
76,1,0,0,1,2
76,1,0,0,1,2
35,1,0,0,1,6
70,1,0,0,1,2
76,1,0,0,1,2
70,1,0,0,1,2
53,3,0,0,1,5
53,4,0,0,1,5
105,4,0,0,1,9
9,4,0,0,1,1
75,4,0,0,1,2
55,1,0,0,1,3
107,1,0,0,1,3
46,1,0,0,1,1
70,1,0,0,1,2
24,1,0,0,1,2
24,1,0,0,1,2
51,1,0,0,1,2
24,1,0,0,1,2
24,1,0,0,1,2
25,1,0,0,1,5
4,1,0,0,1,2
51,1,0,0,1,2
24,1,0,0,1,2
16,1,0,0,1,2
65,1,0,0,1,2
24,1,0,0,1,2
83,1,0,0,1,2
24,1,0,0,1,2
70,1,0,0,1,2
24,1,0,0,1,2
24,1,0,0,1,2
25,1,0,0,1,5
20,1,0,0,1,1
102,4,0,0,1,4
91,4,0,0,1,4
39,4,0,0,1,1
91,4,0,0,1,4
84,4,0,0,1,4
39,4,0,0,1,1
102,4,0,0,1,4
60,4,0,0,1,3
21,4,0,0,1,4
57,4,0,0,1,1
39,4,0,0,1,1
26,4,0,0,1,1
50,4,0,0,1,1
29,4,0,0,1,7
20,4,0,0,1,1
81,4,0,0,1,2
13,2,0,0,1,2
10,2,0,0,1,3
41,2,0,0,1,1
107,2,0,0,1,3
16,3,0,0,1,2
92,3,0,0,1,3
37,3,0,0,1,6
92,3,0,0,1,3
70,3,0,0,1,2
70,3,0,0,1,2
107,3,0,0,1,3
92,3,0,0,1,3
70,3,0,0,1,2
25,3,0,0,1,5
70,3,0,0,1,2
46,3,0,0,1,1
70,3,0,0,1,2
87,3,0,0,1,1
16,3,0,0,1,2
92,3,0,0,1,3
92,3,0,0,1,3
92,3,0,0,1,3
16,3,0,0,1,2
16,3,0,0,1,2
16,3,0,0,1,2
7,3,0,0,1,9
100,3,0,0,1,9
92,3,0,0,1,3
50,3,0,0,1,1
27,3,0,0,0,2
85,3,0,0,0,7
15,3,0,0,0,2
27,3,0,0,0,2
99,3,0,0,0,2
112,3,0,0,0,9
106,3,0,0,0,1
55,3,0,0,1,3
107,3,0,0,1,3
16,3,0,0,1,2
38,3,0,0,1,3
58,3,0,0,1,3
70,3,0,0,0,2
13,3,0,0,0,2
48,3,0,0,0,8
70,3,0,0,0,2
13,2,0,0,0,2
13,2,0,0,0,2
47,2,0,0,0,3
61,2,0,0,0,5
71,2,0,0,0,2
32,2,0,0,0,1
73,2,0,0,0,2
73,2,0,0,0,2
73,2,0,0,0,2
103,2,0,0,0,2
103,2,0,0,0,2
68,2,0,0,0,1
59,2,0,0,0,5
55,2,0,0,0,3
72,2,0,0,0,3
28,2,0,0,0,1
63,2,0,0,0,3
73,2,0,0,0,2
94,2,0,0,0,2
64,2,0,0,0,2
43,2,0,0,0,3
85,2,0,0,0,7
47,2,0,0,0,3
43,2,0,0,0,3
107,2,0,0,0,3
85,2,0,0,0,7
54,2,0,0,0,7
107,2,0,0,0,3
69,2,0,0,0,7
11,2,0,0,0,5
12,2,0,0,0,10
44,3,1,1,1,10
44,3,1,1,1,10
44,3,1,1,1,10
108,1,0,0,1,1
67,1,0,0,1,1
16,1,0,0,1,2
16,2,1,0,1,2
25,2,1,0,1,5
88,2,1,0,1,4
52,2,1,0,1,4
107,2,1,0,1,3
88,2,1,0,1,4
107,2,1,0,1,3
62,2,1,0,1,4
88,2,1,0,1,4
88,2,1,0,1,4
96,2,1,0,1,2
6,2,1,0,1,6
