Action Units,Ethnicity,glasses,fringe,gender
265,1,0,0,0
255,1,0,0,0
150,1,0,0,0
255,1,0,0,0
255,1,0,0,0
220,2,0,0,0
150,1,0,0,0
190,1,0,0,0
212,2,0,0,0
255,1,0,0,0
36,2,0,0,0
98,2,0,0,0
238,1,0,0,0
136,2,0,0,0
52,2,0,0,0
2,2,0,0,0
310,2,0,0,0
310,2,0,0,0
151,2,0,0,0
237,2,0,0,0
17,2,0,0,0
150,2,0,0,0
252,1,0,0,0
103,2,0,0,0
205,2,0,0,0
129,2,0,0,0
135,2,0,0,0
294,2,0,0,0
67,2,0,0,0
196,1,0,0,0
261,1,0,0,0
231,2,0,0,0
159,1,0,0,0
116,1,0,0,0
6,2,0,1,0
180,2,0,1,0
148,2,0,1,0
30,2,0,1,0
12,2,0,1,0
173,2,0,1,0
132,2,0,1,0
156,2,0,1,0
308,2,0,1,0
126,3,0,1,0
234,2,0,1,0
269,2,0,1,0
303,2,0,1,0
43,2,0,1,0
275,2,0,1,0
134,2,0,0,0
19,2,0,0,0
19,2,0,0,0
280,2,0,0,0
37,2,0,0,0
7,2,0,0,1
211,2,0,0,1
39,2,0,0,1
39,2,0,0,1
80,2,0,0,1
172,2,0,0,1
10,2,0,0,1
225,2,0,0,1
264,2,0,0,1
10,2,0,0,1
286,2,1,0,1
194,2,1,0,1
85,2,1,0,1
154,2,1,0,1
62,2,1,0,1
300,2,1,0,1
275,4,1,0,1
222,2,1,0,1
99,2,1,0,1
284,2,1,0,1
239,2,1,0,1
39,2,1,0,1
30,2,1,0,1
236,2,1,0,1
302,2,1,0,1
121,2,1,0,1
47,2,1,0,1
5,2,1,0,1
30,2,1,0,1
30,2,1,0,1
263,2,1,0,1
59,4,1,0,1
105,2,1,0,1
20,2,0,0,1
1,2,0,0,1
71,2,0,0,1
243,2,0,0,1
68,2,0,0,1
235,2,0,0,1
56,2,0,0,1
311,2,0,0,1
283,2,0,0,1
42,2,0,0,1
125,2,0,0,1
214,2,0,0,1
223,2,0,0,1
75,2,0,0,1
77,2,0,0,1
256,2,0,0,1
116,2,0,0,1
171,2,0,0,1
66,2,0,0,1
290,2,0,0,1
301,2,0,0,1
243,2,0,0,1
19,2,0,0,1
290,2,0,0,1
115,2,0,0,1
175,2,0,0,1
304,2,0,0,1
282,2,0,0,1
290,2,0,0,1
290,2,0,0,1
46,2,0,0,1
243,2,0,0,1
289,2,0,0,1
195,2,0,0,1
290,2,0,0,1
46,2,0,0,1
33,2,0,0,1
27,2,0,0,1
199,2,0,0,1
167,2,0,0,1
309,2,0,0,1
46,2,0,0,1
241,2,0,0,1
111,2,0,0,1
133,2,0,0,1
247,2,0,0,1
184,2,0,0,1
281,2,0,0,1
216,2,0,0,1
118,2,0,0,1
162,2,0,0,1
117,2,0,0,1
171,2,0,0,1
175,2,0,0,1
292,2,0,0,1
292,2,0,0,1
181,2,0,0,1
112,2,0,0,1
289,2,0,0,1
299,2,0,0,1
290,2,0,0,1
124,2,0,0,1
277,2,0,0,1
210,2,0,0,1
46,2,0,0,1
121,2,0,0,1
204,2,0,0,1
41,2,0,0,1
197,2,0,0,1
155,2,0,0,1
232,2,0,0,1
200,2,0,0,1
285,2,0,0,1
78,2,0,0,1
293,2,0,0,1
293,2,0,0,1
293,2,0,0,1
293,2,0,0,1
54,2,0,0,1
294,2,0,0,1
82,2,0,0,1
19,2,0,0,0
194,2,0,0,0
39,2,0,0,0
19,2,0,0,0
243,2,0,0,0
198,2,0,0,0
243,2,0,0,0
194,2,0,0,0
19,2,0,0,0
7,2,0,0,0
112,2,0,0,0
145,2,0,0,0
39,2,0,0,0
239,2,0,0,0
243,2,0,0,0
287,2,0,0,0
31,2,0,0,0
174,2,0,0,0
55,2,0,0,0
39,2,0,0,0
6,2,0,0,1
180,2,0,0,1
180,2,0,0,1
180,2,0,0,1
108,2,0,0,1
169,2,0,0,1
305,2,0,0,1
121,2,0,0,1
180,2,0,0,1
180,2,0,0,1
21,2,0,0,1
97,2,0,0,1
180,2,0,0,1
161,2,0,0,1
63,2,0,0,1
206,2,0,0,1
308,2,0,0,1
306,2,0,0,1
240,2,0,0,1
122,2,0,0,1
275,2,0,0,1
178,2,0,0,1
57,2,0,0,1
58,2,0,0,1
262,2,0,0,1
122,2,0,0,1
276,2,0,0,1
58,2,0,0,1
58,2,0,0,1
180,2,0,0,1
226,2,0,0,1
128,4,0,0,1
243,2,0,0,1
239,2,0,0,1
73,4,0,0,1
274,2,0,0,1
312,2,0,0,1
289,2,0,0,1
100,2,0,0,1
188,2,0,0,1
290,2,0,0,1
11,2,0,0,1
243,2,0,0,1
243,2,0,0,1
147,2,0,0,1
250,2,0,0,1
208,2,0,0,1
144,2,0,0,1
114,2,0,0,1
143,2,0,0,1
39,2,0,0,1
305,2,0,0,1
211,2,0,0,1
19,2,0,0,1
201,2,0,0,1
233,2,0,0,1
