Subject,Correct,Total,F1,F1_ALL,Accuracy
17,tensor(31),33,tensor(0.920),tensor(0.920),0.7878999710083008
26,tensor(12),12,tensor(1.),tensor(0.937),0.916700005531311
16,tensor(3),3,tensor(1.),tensor(0.946),0.666700005531311
9,tensor(10),11,tensor(0.906),tensor(0.945),0.7272999882698059
5,tensor(6),7,tensor(0.852),tensor(0.913),0.7142999768257141
24,tensor(5),6,tensor(0.778),tensor(0.894),0.666700005531311
2,tensor(8),9,tensor(0.756),tensor(0.879),0.33329999446868896
13,tensor(2),2,tensor(1.),tensor(0.883),0.5
4,tensor(3),3,tensor(1.),tensor(0.884),1.0
23,tensor(8),8,tensor(1.),tensor(0.889),0.875
11,tensor(4),4,tensor(1.),tensor(0.890),1.0
12,tensor(11),11,tensor(1.),tensor(0.910),0.9090999960899353
8,tensor(1),1,tensor(1.),tensor(0.910),1.0
14,tensor(3),3,tensor(1.),tensor(0.914),1.0
3,tensor(5),5,tensor(1.),tensor(0.918),0.800000011920929
19,tensor(11),12,tensor(0.926),tensor(0.919),0.666700005531311
1,tensor(3),3,tensor(1.),tensor(0.920),1.0
10,tensor(1),1,tensor(1.),tensor(0.920),1.0
20,tensor(2),2,tensor(1.),tensor(0.921),1.0
21,tensor(1),1,tensor(1.),tensor(0.921),0.0
22,tensor(2),2,tensor(1.),tensor(0.922),1.0
15,tensor(2),3,tensor(0.556),tensor(0.913),0.666700005531311
6,tensor(3),4,tensor(0.556),tensor(0.911),0.75
25,tensor(4),5,tensor(0.762),tensor(0.905),0.6000000238418579
7,tensor(5),5,tensor(1.),tensor(0.906),1.0
Final,,,,,0.7832159996032715
