ImageFile,PredictedEmotion
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\casme2\sub09\u_test\0\sub09_EP06_01f .png,0
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\casme2\sub09\u_test\0\sub09_EP09_04 .png,0
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\casme2\sub09\u_test\0\sub09_EP09_05 .png,0
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\casme2\sub09\u_test\0\sub09_EP13_01 .png,0
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\casme2\sub09\u_test\0\sub09_EP17_08 .png,0
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\casme2\sub09\u_test\1\sub09_EP02_01f .png,1
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\casme2\sub09\u_test\1\sub09_EP05_05 .png,1
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\casme2\sub09\u_test\1\sub09_EP06_02f .png,0
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\casme2\sub09\u_test\1\sub09_EP09f .png,1
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\casme2\sub09\u_test\1\sub09_EP15_05 .png,1
