ImageFile,PredictedEmotion
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\input\006\u_test\0\006_006_1_2.png,0
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\input\006\u_test\0\006_006_1_3.png,0
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\input\006\u_test\0\006_006_1_4.png,0
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\input\006\u_test\0\006_006_1_5.png,0
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\input\006\u_test\0\006_006_1_6.png,0
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\input\006\u_test\0\006_006_2_4.png,0
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\input\006\u_test\0\006_006_3_4.png,0
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\input\006\u_test\0\006_006_5_10.png,0
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\input\006\u_test\0\006_006_5_11.png,0
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\input\006\u_test\2\006_006_3_5.png,0
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\input\006\u_test\2\006_006_5_9.png,2
