Action Unit,Emotion,age,gender,ethnicity,glasses,fringe,Predicted Emotion
72,2,29.55,0,3,0,0,2
72,2,29.85,0,3,0,0,2
72,2,30.09,0,3,0,0,2
58,2,41.2,1,3,0,0,2
72,2,36.56,1,3,0,0,2
72,2,33.89,1,3,0,0,2
72,2,28.54,1,3,0,0,0
72,2,25.66,1,3,0,0,0
36,1,24.16,1,3,0,0,2
35,1,26.18,1,3,0,0,2
54,2,24.34,0,3,0,0,2
72,2,27.61,0,3,0,0,2
40,2,26.82,0,3,0,0,2
69,2,26.08,0,3,0,0,2
58,2,25.82,0,3,0,0,2
72,2,19.02,1,3,0,0,2
5,1,17.59,1,3,0,0,2
65,0,15.39,0,3,0,0,2
4,1,19.8,0,3,0,0,2
58,2,20.81,0,3,0,0,2
58,2,20.55,0,3,0,0,2
58,2,20.6,0,3,0,0,2
58,2,19.91,0,3,0,0,2
58,2,19.02,0,3,0,0,2
9,1,20.67,0,3,0,0,2
11,1,20.05,0,3,0,0,2
49,2,25.93,0,3,0,0,2
10,1,25.3,0,3,0,0,2
58,2,28.52,0,3,0,0,2
41,2,25.91,0,3,0,0,2
58,2,26.9,0,3,0,0,2
58,2,23.03,0,3,0,0,2
1,2,25.98,0,3,0,0,2
40,2,31.38,0,3,0,0,2
40,2,27.07,0,3,0,0,2
1,2,27.99,0,3,0,0,2
72,2,26.35,0,3,0,0,2
21,0,31.45,1,3,0,0,2
72,2,31.63,1,3,0,0,2
72,2,22.3,0,3,0,0,2
40,2,24.64,0,3,0,0,2
40,2,24.32,0,3,0,0,2
40,2,29.07,0,3,0,0,2
76,2,24.09,0,3,0,0,2
72,2,27.32,0,3,0,0,2
50,2,25.75,0,3,0,0,2
40,2,26.13,0,3,0,0,2
40,2,27.89,0,3,0,0,2
40,2,28.65,0,3,0,0,2
40,2,28.53,0,3,0,0,2
20,2,29.76,0,3,0,0,2
40,2,27.51,1,3,0,0,0
22,0,31.51,0,3,0,0,2
60,2,20.32,0,3,0,0,2
48,2,23.72,0,3,0,0,2
75,2,32.49,0,3,0,0,2
75,2,30.39,0,3,0,0,2
72,2,37.05,0,3,0,0,2
49,2,31.8,0,3,0,0,2
72,2,36.39,0,3,0,0,2
72,2,35.62,0,3,0,0,2
72,2,31.05,0,3,0,0,2
72,2,31.84,0,3,0,0,2
40,2,30.94,0,3,0,0,2
47,2,15.87,1,3,0,0,2
21,0,24.98,1,2,0,0,2
23,0,25.3,1,2,0,0,2
23,0,24.52,1,2,0,0,2
40,2,29.27,1,3,0,0,2
61,2,29.47,1,3,0,0,2
40,2,31.76,1,3,0,0,2
27,2,30.46,1,3,0,0,2
40,2,30.58,1,3,0,0,2
4,1,30.23,1,3,0,0,2
16,1,31.03,1,3,0,0,2
16,1,29.84,1,3,0,0,2
21,0,33.29,0,3,0,0,2
40,2,30.1,0,3,0,0,2
47,2,37.4,0,3,0,0,2
47,2,32.82,0,3,0,0,2
74,2,28.62,1,3,0,0,2
74,2,29.78,1,3,0,0,2
75,2,30.87,1,3,0,0,2
29,2,36.82,1,3,0,0,2
40,2,27.39,0,3,0,0,2
72,2,28.28,0,3,0,0,2
58,2,39.38,1,3,0,0,2
21,0,29.85,1,2,0,0,2
58,2,35.57,1,1,0,0,2
58,2,36.26,1,1,0,0,2
40,2,35.75,1,1,0,0,2
40,2,35.72,1,1,0,0,2
58,2,35.56,1,1,0,0,2
58,2,36.2,1,1,0,0,2
58,2,35.66,1,1,0,0,2
58,2,36.57,1,1,0,0,2
58,2,35.65,1,1,0,0,2
16,1,34.86,1,1,0,0,2
58,2,33.9,1,1,0,0,2
58,2,35.24,1,1,0,0,2
58,2,35.53,1,1,0,0,2
51,2,32.34,1,4,0,0,2
62,2,34.44,1,4,0,0,2
65,0,30.65,1,1,0,0,0
21,0,30.02,1,1,0,0,2
40,2,27.61,1,1,0,0,0
40,2,27.54,1,1,0,0,0
58,2,27.67,1,1,0,0,0
40,2,27.94,1,1,0,0,2
40,2,27.68,1,1,0,0,2
49,2,28.37,1,1,0,0,2
58,2,28.36,1,1,0,0,2
40,2,27.16,1,1,0,0,2
40,2,27.75,1,1,0,0,2
42,2,27.66,1,1,0,0,2
40,2,28.14,1,1,0,0,0
58,2,28.16,1,1,0,0,0
40,2,27.12,1,1,0,0,0
58,2,28.01,1,1,0,0,0
40,2,27.79,1,1,0,0,0
40,2,27.72,1,1,0,0,0
34,1,33.19,1,4,0,0,2
33,1,31.89,1,4,0,0,2
33,1,35.18,1,4,0,0,2
33,1,32.88,1,4,0,0,2
34,1,34.05,1,4,0,0,2
21,0,33.74,1,4,0,0,2
72,2,23.79,1,2,0,0,2
21,0,24.02,1,2,0,0,2
21,0,27.35,1,2,0,0,2
